x (m),y (m),time (sec)
0.0,-0.197,28.998
-0.01501,-0.1782,29.04
-0.02626,-0.1594,29.082
-0.04127,-0.1407,29.118000000000002
-0.05252,-0.1219,29.16
-0.06753,-0.1032,29.202
-0.07879,-0.08441,29.238
-0.09379,-0.06566,29.28
-0.105,-0.0469,29.322000000000003
-0.1201,-0.02814,29.358
-0.1351,-0.00938,29.4
-0.1463,0.009379,29.442
-0.1651,0.02814,29.478
-0.1763,0.04314,29.52
-0.1913,0.0619,29.562
-0.2063,0.08066,29.598000000000003
-0.2214,0.09567,29.64
-0.2364,0.1107,29.682
-0.2514,0.1294,29.718
-0.2664,0.1444,29.759999999999998
-0.2851,0.1594,29.802
-0.3039,0.1782,29.838
-0.3189,0.1895,29.88
-0.3264,0.197,29.921999999999997
-0.3564,0.212,29.958000000000002
-0.3714,0.227,30.0
-0.3902,0.2345,30.042
-0.4089,0.2382,30.078
-0.4277,0.242,30.12
-0.4502,0.2457,30.162000000000003
-0.4727,0.2457,30.197999999999997
-0.4877,0.242,30.240000000000002
-0.5065,0.2382,30.282000000000004
-0.5215,0.2307,30.317999999999998
-0.5365,0.2157,30.36
-0.5478,0.2045,30.402
-0.559,0.1895,30.438
-0.5665,0.1782,30.48
-0.5703,0.1707,30.522000000000002
-0.574,0.1482,30.558
-0.574,0.1294,30.6
-0.574,0.1144,30.642000000000003
-0.574,0.09567,30.677999999999997
-0.574,0.08817,30.72
-0.5703,0.05815,30.762000000000004
-0.5665,0.03939,30.798
-0.5628,0.02063,30.84
-0.5553,0.001876,30.882
-0.5515,-0.01688,30.918
-0.544,-0.03939,30.96
-0.5402,-0.05815,31.002000000000002
-0.5327,-0.07691,31.038
-0.5252,-0.09942,31.080000000000002
-0.5177,-0.1182,31.122000000000003
-0.5102,-0.1407,31.157999999999998
-0.5027,-0.1594,31.200000000000003
-0.4952,-0.1782,31.242000000000004
-0.4877,-0.2007,31.278
-0.4765,-0.2157,31.32
-0.469,-0.2345,31.362000000000002
-0.4577,-0.2532,31.398
-0.4465,-0.272,31.44
