time,x,y,head direction
1648415082476626.00, 305.8420, 376.9348, 0.8338
1648415082509562.25, 306.7833, 375.8507, 3.6653
1648415082544511.75, 310.2553, 372.2863, 8.7080
1648415082580928.50, 312.5376, 370.7862, 9.7152
1648415082614174.25, 320.8488, 367.2399, 20.7033
1648415082648701.75, 331.9550, 366.9011, 36.4447
1648415082685779.75, 336.9460, 367.1149, 47.2989
1648415082725831.00, 346.8515, 368.6897, 62.4759
1648415082770680.00, 355.6148, 366.8142, 61.6361
1648415082806760.50, 359.3048, 367.5893, 63.4441
1648415082845708.25, 361.1514, 366.4421, 62.0078
1648415082880460.75, 365.5142, 365.0959, 59.4954
1648415082918088.00, 368.5592, 364.1046, 64.1421
1648415082956683.75, 370.1784, 363.1283, 62.4200
1648415082992683.50, 374.5219, 360.3054, 67.2844
1648415083034833.00, 379.7002, 359.1424, 75.3011
1648415083075142.75, 384.3485, 356.4850, 73.9253
1648415083112568.75, 388.3325, 355.7737, 76.3021
1648415083149045.75, 395.5930, 354.6288, 82.8208
1648415083228806.00, 402.2245, 355.7871, -99.0000
1648415083286275.75, 407.5005, 357.5969, 81.8454
1648415083329513.00, 410.0752, 354.7203, 74.9078
1648415083366972.75, 411.7143, 351.1319, 74.7216
1648415083409899.25, 412.0368, 348.5259, 75.9228
1648415083515166.50, 411.0233, 340.0544, -99.0000
1648415083559402.75, 404.2773, 326.9872, 39.2565
1648415083610857.75, 401.1413, 322.6521, 33.4518
1648415083651141.25, 394.5480, 317.5703, 19.4041
1648415083871615.00, 393.8795, 315.6785, -99.0000
1648415083928290.50, 375.1120, 300.9422, 3.9170
1648415083966828.50, 369.6376, 296.1892, 1.5458
1648415084003801.25, 366.5534, 292.3564, 0.3386
1648415084043341.75, 364.7544, 289.2465, 0.6083
1648415084077184.25, 362.7133, 282.3355, 358.8123
1648415084112785.50, 362.7746, 275.2259, 0.4081
1648415084146151.75, 362.9787, 271.4125, 0.2093
1648415084181758.00, 363.2537, 263.4892, 1.4478
1648415084216348.50, 363.7363, 260.2769, 5.4495
1648415084251439.25, 365.9263, 255.1041, 14.5309
1648415084291645.50, 367.1450, 252.0029, 16.8849
1648415084325563.00, 368.7987, 244.9940, 17.9471
1648415084404084.50, 369.5951, 239.1337, -99.0000
1648415084445171.75, 369.1310, 232.2156, 12.6718
1648415084485373.00, 369.3684, 229.0844, 11.3666
1648415084516970.00, 370.3480, 225.7672, 15.5257
1648415084553464.50, 370.5770, 224.3599, 14.1043
1648415084591960.50, 370.6335, 221.3076, 14.0818
1648415084627932.75, 370.4767, 222.2377, 16.1109
1648415084660125.50, 370.0521, 222.4825, 17.0641
1648415084693947.00, 369.5019, 222.0873, 15.9600
1648415084725988.00, 368.8185, 221.4270, 15.7383
1648415084756880.25, 368.5483, 220.5051, 17.5819
1648415084786166.75, 370.0226, 219.4074, 20.6814
1648415084869431.50, 371.8695, 218.5355, -99.0000
1648415084922339.25, 387.2063, 218.4437, -99.0000
1648415084957964.25, 402.8111, 218.6568, 59.7044
1648415084992834.75, 406.8669, 218.3060, 65.5217
1648415085032855.50, 412.0949, 218.8129, 68.0494
1648415085072354.75, 414.3342, 218.4126, 67.8771
