time (ms),membrane voltage (mV)
112.04,-57.95862
112.044,-57.88756
112.048,-57.67394
112.052,-57.2467
112.056,-56.7484
112.06,-56.2501
112.064,-55.9652
112.068,-55.89392
112.072,-55.9652
112.076,-56.03648
112.08,-56.2501
112.084,-56.39244
112.088,-56.32116
112.092,-56.32116
112.096,-56.2501
112.1,-56.2501
112.104,-56.32116
112.108,-56.4635
112.112,-56.60606
112.116,-56.7484
112.12,-56.81946
112.124,-56.89074
112.128,-56.81946
112.132,-56.81946
112.136,-56.89074
112.14,-56.89074
112.144,-56.96202
112.148,-56.96202
112.152,-56.96202
112.156,-57.03308
112.16,-57.10436
112.164,-56.96202
112.168,-56.81946
112.172,-56.53478
112.176,-56.2501
112.18,-55.89392
112.184,-55.53796
112.188,-55.53796
112.192,-55.53796
112.196,-55.60924
112.2,-55.68052
112.204,-55.68052
112.208,-55.53796
112.212,-55.32456
112.216,-54.96838
112.22,-54.75498
112.224,-54.6837
112.228,-54.75498
112.232,-55.25328
112.236,-55.4669
112.24,-55.60924
112.244,-55.60924
112.248,-55.68052
112.252,-55.60924
112.256,-55.68052
112.26,-55.68052
112.264,-55.89392
112.268,-56.17882
112.272,-56.53478
112.276,-56.67712
112.28,-56.89074
112.284,-56.7484
112.288,-56.32116
112.292,-56.03648
112.296,-55.39562
112.3,-54.96838
112.304,-54.6837
112.308,-54.54136
112.312,-54.54136
112.316,-54.54136
112.32,-54.61242
112.324,-54.54136
112.328,-54.32774
112.332,-54.1854
112.336,-53.68688
112.34,-53.33092
112.344,-52.97496
112.348,-52.76134
112.352,-52.69028
112.356,-52.9039
112.36,-53.1173
112.364,-53.18858
112.368,-53.25986
112.372,-53.1173
112.376,-52.76134
112.38,-52.47666
112.384,-52.1207
112.388,-52.04942
112.392,-51.90708
112.396,-51.8358
112.4,-51.90708
112.404,-51.76474
112.408,-51.69346
112.412,-51.76474
112.416,-51.97836
112.42,-52.19198
112.424,-52.69028
112.428,-53.18858
112.432,-53.61582
112.436,-54.25646
112.44,-54.6837
112.444,-55.25328
112.448,-55.60924
112.452,-55.75158
112.456,-55.82286
112.46,-55.9652
112.464,-56.17882
112.468,-56.39244
112.472,-56.67712
112.476,-57.10436
112.48,-57.5316
112.484,-57.95862
112.488,-58.31458
112.492,-58.5282
112.496,-58.59948
112.5,-58.5282
112.504,-58.59948
112.508,-58.67054
112.512,-58.67054
112.516,-58.95544
112.52,-59.16906
112.524,-59.3114
112.528,-59.24012
112.532,-59.16906
112.536,-58.95544
112.54,-58.67054
112.544,-58.5282
112.548,-58.38586
112.552,-58.24352
112.556,-58.10096
112.56,-57.81628
112.564,-57.60266
112.568,-57.10436
112.572,-56.60606
112.576,-56.2501
112.58,-55.9652
112.584,-55.82286
112.588,-55.89392
112.592,-56.10754
112.596,-56.32116
112.6,-56.67712
112.604,-56.89074
112.608,-56.96202
112.612,-57.03308
112.616,-56.81946
112.62,-56.60606
112.624,-56.32116
112.628,-56.17882
112.632,-56.10754
112.636,-56.10754
112.64,-56.32116
112.644,-56.53478
112.648,-56.81946
112.652,-57.03308
112.656,-57.17542
112.66,-57.31798
112.664,-57.38904
112.668,-57.5316
112.672,-57.745
112.676,-57.81628
112.68,-57.81628
112.684,-57.88756
112.688,-57.745
112.692,-57.46032
112.696,-57.10436
112.7,-56.7484
112.704,-56.53478
112.708,-56.39244
112.712,-56.10754
112.716,-56.03648
112.72,-55.75158
112.724,-55.39562
112.728,-54.82604
112.732,-54.39902
112.736,-53.97178
112.74,-53.68688
112.744,-53.54454
112.748,-53.75816
112.752,-53.82944
112.756,-54.11412
112.76,-54.1854
112.764,-54.25646
112.768,-54.11412
112.772,-53.97178
112.776,-53.82944
112.78,-53.68688
112.784,-53.68688
112.788,-53.68688
112.792,-53.82944
112.796,-53.82944
112.8,-53.9005
112.804,-53.97178
112.808,-53.97178
112.812,-53.9005
112.816,-53.82944
112.82,-53.82944
112.824,-53.9005
112.828,-54.1854
112.832,-54.6837
112.836,-55.182
112.84,-55.75158
112.844,-56.2501
112.848,-56.39244
112.852,-56.60606
112.856,-56.53478
112.86,-56.67712
112.864,-57.03308
112.868,-57.5316
112.872,-58.31458
112.876,-59.16906
112.88,-59.88098
112.884,-60.45056
112.888,-60.94886
112.892,-61.16248
112.896,-61.3761
112.9,-61.44716
112.904,-61.51844
112.908,-61.66078
112.912,-61.73206
112.916,-61.73206
112.92,-61.94568
112.924,-61.94568
112.928,-62.01674
112.932,-62.01674
112.936,-61.94568
112.94,-61.94568
112.944,-62.01674
112.948,-62.08802
112.952,-62.30164
112.956,-62.51526
112.96,-62.6576
112.964,-62.6576
112.968,-62.58632
112.972,-62.23036
112.976,-61.94568
112.98,-61.51844
112.984,-61.3761
112.988,-61.30482
112.992,-61.44716
112.996,-61.58972
113.0,-61.66078
113.004,-61.51844
113.008,-61.16248
113.012,-60.80652
113.016,-60.37928
113.02,-60.0946
113.024,-60.16566
113.028,-60.30822
113.032,-60.66418
113.036,-61.02014
113.04,-61.23354
113.044,-61.51844
113.048,-61.44716
113.052,-61.44716
113.056,-61.58972
113.06,-61.73206
113.064,-61.94568
113.068,-62.30164
113.072,-62.72866
113.076,-63.29824
113.08,-63.72548
113.084,-64.22378
113.088,-64.57974
113.092,-64.86464
113.096,-64.86464
113.1,-64.79336
113.104,-64.7223
113.108,-64.7223
113.112,-64.7223
113.116,-64.86464
113.12,-64.79336
113.124,-64.79336
113.128,-64.57974
113.132,-64.01016
113.136,-63.58314
113.14,-63.01356
113.144,-62.72866
113.148,-62.51526
