1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
68,65,46,73,78,70,64,74,58,53,70,67,65,59,46,70,60,74,58,55,68,52,78,75,49,58,70,39,69,38,68,54,68,79,52,73,50,73,76,66,71,75,79,78,70,77,73,74,62,66,54,73,67,73,73,58,79,95,59,81,72,80,69,73,78,71,75,69,70,76,71,40,78,92,72,86,37,61,90,65,75,69,79,48
70,63,48,52,67,72,64,71,48,74,77,80,76,63,48,77,64,86,63,70,62,36,62,66,69,47,43,52,56,58,69,61,68,85,62,54,61,73,86,73,63,79,77,70,76,70,58,76,52,65,60,78,67,61,71,64,64,77,53,77,75,81,78,78,40,63,65,61,76,81,83,54,85,65,76,76,37,65,80,74,65,70,86,36
64,53,45,57,55,80,77,72,40,75,63,80,79,57,57,87,64,71,73,67,71,43,72,80,69,62,62,58,53,69,72,62,66,85,72,54,79,69,84,70,61,67,63,54,61,75,69,85,54,69,75,75,61,53,75,78,57,83,48,77,76,82,75,71,30,49,58,60,71,92,87,64,68,62,65,71,63,69,63,68,68,68,66,39
60,64,53,54,61,78,69,72,43,71,54,80,68,58,75,93,75,74,67,76,55,53,74,71,72,49,66,51,67,74,70,62,77,67,68,63,73,76,67,67,61,64,75,41,50,72,68,89,60,69,84,75,58,63,58,47,71,78,57,70,73,73,70,45,36,62,51,68,87,66,87,57,77,66,68,52,52,64,72,70,69,56,60,41
70,85,60,50,61,76,45,62,39,77,61,79,78,73,81,80,77,74,64,69,69,53,67,49,75,63,73,58,64,74,82,62,72,75,64,72,72,76,61,65,64,75,75,59,64,56,59,72,64,81,72,74,59,74,53,63,71,80,59,71,87,74,75,51,56,66,69,76,83,67,91,66,85,70,64,59,36,73,82,80,79,65,79,62
62,88,70,55,77,69,50,68,69,83,50,78,79,83,78,61,77,70,71,64,66,55,61,42,66,61,73,68,71,62,63,73,69,79,67,81,79,78,67,86,73,79,75,64,75,54,57,61,66,85,49,63,62,79,52,63,63,61,73,62,78,75,56,57,52,66,67,83,80,77,63,66,74,78,63,80,36,78,80,83,51,75,74,68
60,90,70,59,67,52,68,77,52,68,49,63,83,83,86,70,83,73,72,54,68,43,69,46,70,58,67,70,75,48,63,74,81,78,77,80,87,81,70,55,74,81,59,70,82,56,79,70,67,81,54,45,82,81,62,62,45,43,83,63,84,78,47,58,52,65,68,87,70,81,63,61,74,76,70,82,43,77,73,72,54,76,58,74
59,83,67,62,56,65,80,77,49,80,60,52,82,56,80,61,82,78,76,60,81,36,73,61,82,64,46,76,79,58,51,70,64,82,77,83,74,82,72,72,72,46,58,74,79,67,74,79,65,80,63,63,82,75,72,74,39,47,62,64,87,80,56,57,51,76,57,87,73,82,69,61,78,72,63,73,45,81,66,75,54,77,67,76
64,72,83,62,40,66,69,75,69,58,66,46,68,68,79,52,83,86,57,60,68,44,74,70,78,78,47,73,86,68,47,80,52,64,69,83,64,84,66,50,71,41,67,78,72,79,78,75,66,74,71,70,68,68,71,69,44,67,75,62,66,82,54,46,59,66,59,78,63,76,77,68,79,83,77,47,60,78,71,72,45,79,73,80
81,73,63,66,54,72,77,76,70,66,72,57,75,70,64,46,81,77,78,69,69,43,72,66,86,77,53,58,79,56,56,67,66,74,71,81,50,80,62,45,59,64,76,66,72,76,73,73,70,58,69,71,91,75,70,80,51,72,69,76,70,71,68,59,64,76,59,76,63,72,84,71,74,66,89,50,70,83,59,81,38,75,77,79
